Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
,,,"7136102.0, 7125179.0, 7125601.0, 7136057.0, 7123853.0, 7121911.0, 7127860.0, 7125381.0, 7153039.0, 7120485.0",7129546.8,9300.129190500527,4,0,5,,,,splines,pattern1
,,,"5216184.0, 5218039.0, 5225020.0, 5216318.0, 5223114.0, 5221152.0, 5214836.0, 5222180.0, 5214187.0, 5216213.0",5218724.3,3625.8313543241366,8,0,5,,,,splines,pattern1
,,,"5646573.0, 5641439.0, 5638822.0, 5636789.0, 5637062.0, 5637265.0, 5629496.0, 5625731.0, 5625571.0, 5616206.0",5633495.4,8592.298681959328,12,0,6,,,,splines,pattern1
,,,"5780699.0, 5787000.0, 5747776.0, 5777626.0, 5672326.0, 5694276.0, 5792185.0, 5781993.0, 5676886.0, 5884700.0",5759546.7,61318.40145184804,16,0,6,,,,splines,pattern1
,,,"8343101.0, 8340030.0, 8334761.0, 8338486.0, 8334888.0, 8337793.0, 8339552.0, 8340300.0, 8335484.0, 8379857.0",8342425.2,12731.10077565958,4,0,6,,,,splines,pattern1
,,,"4456166.0, 4341686.0, 4329451.0, 4315760.0, 4402187.0, 4388779.0, 4477492.0, 4548405.0, 4242063.0, 4470260.0",4397224.9,87516.84456200417,8,0,4,,,,splines,pattern2
,,,"4713263.0, 4770941.0, 4709073.0, 4706337.0, 4702185.0, 4704099.0, 4702101.0, 4715102.0, 4751348.0, 4773776.0",4724822.5,27391.641784493313,12,0,5,,,,splines,pattern2
,,,"4678089.0, 4743902.0, 4679959.0, 4689680.0, 4686021.0, 4690795.0, 4796295.0, 4851404.0, 4763166.0, 4763562.0",4734287.3,56272.147906491,16,0,5,,,,splines,pattern2
,,,"7130086.0, 7118787.0, 7117685.0, 7133056.0, 7120590.0, 7120625.0, 7119117.0, 7120588.0, 7125129.0, 7114450.0",7122011.3,5454.696582762417,4,0,5,,,,splines,pattern2
,,,"5210154.0, 5217239.0, 5217360.0, 5225330.0, 5227816.0, 5213855.0, 5221133.0, 5221105.0, 5238509.0, 5210149.0",5220265.0,8247.569120656099,8,0,5,,,,splines,pattern2
,,,"5812831.0, 5776283.0, 5681804.0, 5656674.0, 5698796.0, 5856653.0, 5867109.0, 5769402.0, 5698870.0, 5697007.0",5751542.9,71753.3026395998,12,0,6,,,,splines,pattern2
,,,"5583386.0, 5637088.0, 5585187.0, 5588065.0, 5592768.0, 5585589.0, 5595317.0, 5592075.0, 5602595.0, 5590312.0",5595238.2,14939.788384043464,16,0,6,,,,splines,pattern2
,,,"8333021.0, 8328999.0, 8330538.0, 8335455.0, 8330278.0, 8330481.0, 8328671.0, 8329010.0, 8338641.0, 8331473.0",8331656.7,3043.3527252029135,4,0,6,,,,splines,pattern2
,,,"4672693.0, 4675484.0, 4673181.0, 4678357.0, 4676725.0, 4675586.0, 4673386.0, 4676868.0, 4674250.0, 4686279.0",4676280.9,3753.9239323673037,12,0,5,,,,splines,mountain
,,,"4708323.0, 4718512.0, 4618108.0, 4598616.0, 4600377.0, 4608757.0, 4620288.0, 4641610.0, 4716510.0, 4640518.0",4647161.9,46154.570871041586,16,0,5,,,,splines,mountain
,,,"7150365.0, 7153594.0, 7154606.0, 7151906.0, 7135236.0, 7134677.0, 7131915.0, 7144020.0, 7143872.0, 7139672.0",7143986.3,7975.398887203072,4,0,5,,,,splines,mountain
,,,"5216908.0, 5218499.0, 5221687.0, 5220924.0, 5216211.0, 5216503.0, 5219128.0, 5229737.0, 5222645.0, 5216808.0",5219905.0,3933.9920182938854,8,0,5,,,,splines,mountain
,,,"5607126.0, 5605851.0, 5608122.0, 5609051.0, 5611295.0, 5607968.0, 5610700.0, 5609995.0, 5608931.0, 5638572.0",5611761.1,9070.19762133108,12,0,6,,,,splines,mountain
,,,"5619558.0, 5714190.0, 5568687.0, 5612323.0, 5592433.0, 5607765.0, 5646253.0, 5624671.0, 5654488.0, 5590457.0",5623082.5,38925.28440037401,16,0,6,,,,splines,mountain
