Bilineal Timer,Bilineal Timer Mean,Bilineal Timer Std,Splines Timer,Splines Timer Mean,Splines Timer Std,bloques,ecm,k,kNN Timer,kNN Timer Mean,kNN Timer Std,method,name
"2355.0, 1169.0, 1244.0, 1077.0, 1714.0, 1349.0, 1024.0, 1613.0, 980.0, 1004.0",1352.9,411.463838022,,,,-1,79.4577521284,3,,,,bilineal,paisaje_1
"1707.0, 1236.0, 835.0, 823.0, 759.0, 2826.0, 25019.0, 1179.0, 2831.0, 1453.0",3866.8,7087.47631813,,,,-1,165.852413853,9,,,,bilineal,rostro_2
"1536.0, 4244.0, 1438.0, 785.0, 961.0, 773.0, 1018.0, 1125.0, 990.0, 1324.0",1419.4,972.831557876,,,,-1,6342.29802675,7,,,,bilineal,geometrica_2
"996.0, 1748.0, 1201.0, 1170.0, 1716.0, 2968.0, 1301.0, 1150.0, 2711.0, 2040.0",1700.1,650.793584787,,,,-1,135.616463828,1,,,,bilineal,paisaje_2
"977.0, 1039.0, 977.0, 1252.0, 1325.0, 983.0, 985.0, 1087.0, 1078.0, 993.0",1069.6,117.25288909,,,,-1,629.194165459,1,,,,bilineal,geometrica_2
"925.0, 944.0, 921.0, 1034.0, 1149.0, 923.0, 961.0, 993.0, 910.0, 970.0",973.0,68.9695585023,,,,-1,58.1782700356,4,,,,bilineal,rostro_2
"807.0, 927.0, 985.0, 3919.0, 982.0, 2218.0, 893.0, 818.0, 1763.0, 1484.0",1479.6,927.795688716,,,,-1,7385.50076181,9,,,,bilineal,geometrica_2
"1086.0, 1323.0, 1014.0, 919.0, 922.0, 2148.0, 1435.0, 1086.0, 3300.0, 1015.0",1424.8,715.87468177,,,,-1,21.5054757122,4,,,,bilineal,rostro_1
"1096.0, 1280.0, 1020.0, 1399.0, 1257.0, 997.0, 2434.0, 978.0, 946.0, 982.0",1238.9,424.573067916,,,,-1,108.623957562,4,,,,bilineal,paisaje_1
"4321.0, 1908.0, 1071.0, 987.0, 1019.0, 1098.0, 1058.0, 1006.0, 2140.0, 1084.0",1569.2,996.937791439,,,,-1,2455.54488467,3,,,,bilineal,geometrica_2
"1223.0, 1321.0, 1164.0, 1406.0, 1973.0, 1019.0, 1826.0, 1360.0, 1052.0, 1028.0",1337.2,311.435001244,,,,-1,925.788048582,3,,,,bilineal,geometrica_1
"786.0, 774.0, 779.0, 2017.0, 776.0, 948.0, 8047.0, 798.0, 1128.0, 1315.0",1736.8,2135.90172059,,,,-1,63.064383928,9,,,,bilineal,rostro_1
"765.0, 765.0, 811.0, 787.0, 1625.0, 921.0, 1016.0, 986.0, 780.0, 1040.0",949.6,247.680520025,,,,-1,6071.10520457,9,,,,bilineal,geometrica_1
"1033.0, 1276.0, 1148.0, 1115.0, 1693.0, 983.0, 1151.0, 17266.0, 1198.0, 1216.0",2807.9,4822.85522175,,,,-1,8.03612539723,1,,,,bilineal,rostro_2
"1014.0, 1118.0, 1540.0, 1074.0, 1383.0, 2105.0, 1129.0, 1145.0, 2262.0, 1187.0",1395.7,421.711287494,,,,-1,15.7853806879,3,,,,bilineal,rostro_1
"1650.0, 2367.0, 795.0, 800.0, 1537.0, 890.0, 970.0, 1053.0, 892.0, 1460.0",1241.4,481.447442614,,,,-1,972.142735431,9,,,,bilineal,paisaje_2
